Printout for SDDS file facet_noFF.mat

 ElementName        s             R16            T166           R56            T566     
                    m             m/1             m             m/1             m       
----------------------------------------------------------------------------------------
    CSRD0023   2.222869e+01   1.185502e-01  -3.301997e-01  -7.609828e-04   1.247672e-02 
         M4E   2.222869e+01   1.185502e-01  -3.301997e-01  -7.609828e-04   1.247672e-02 
       D6EA1   2.222869e+01   1.185502e-01  -3.301997e-01  -7.609828e-04   1.247672e-02 
         S3E   2.235369e+01   1.145705e-01  -2.929408e-01  -7.609828e-04   1.254007e-02 
         S3E   2.247869e+01   1.105907e-01  -2.556820e-01  -7.609828e-04   1.260343e-02 
    CSRD0024   2.266627e+01   1.046186e-01  -1.997704e-01  -7.609828e-04   1.269849e-02 
        YC2E   2.273427e+01   1.024537e-01  -1.795016e-01  -7.609828e-04   1.273296e-02 
        YC2E   2.280227e+01   1.002887e-01  -1.592328e-01  -7.609828e-04   1.276742e-02 
    CSRD0025   2.295870e+01   9.530834e-02  -1.126062e-01  -7.609828e-04   1.284670e-02 
         Q5E   2.317290e+01   8.909533e-02  -4.996227e-02  -7.609828e-04   1.293709e-02 
         Q5E   2.338710e+01   8.404426e-02   1.086684e-02  -7.609828e-04   1.299689e-02 
        DM5Q   2.338710e+01   8.404426e-02   1.086684e-02  -7.609828e-04   1.299689e-02 
         M5E   2.338710e+01   8.404426e-02   1.086684e-02  -7.609828e-04   1.299689e-02 
    CSRD0026   2.361640e+01   7.923422e-02   7.532216e-02  -7.609828e-04   1.304734e-02 
         B3E   2.414510e+01   7.084563e-02   2.212205e-01   1.370904e-06   1.463620e-02 
       CB3LE   2.414510e+01   7.084563e-02   2.212205e-01   1.370904e-06   1.463620e-02 
    CSRD0027   2.435026e+01   6.863890e-02   2.767916e-01   1.370904e-06   1.464807e-02 
         M6E   2.435026e+01   6.863890e-02   2.767916e-01   1.370904e-06   1.464807e-02 
    CSRD0028   2.438690e+01   6.824475e-02   2.867173e-01   1.370904e-06   1.465019e-02 
         Q6E   2.454190e+01   6.741279e-02   3.315764e-01   1.370904e-06   1.465317e-02 
         MCE   2.454190e+01   6.741279e-02   3.315764e-01   1.370904e-06   1.465317e-02 
         Q6E   2.469690e+01   6.824457e-02   3.829516e-01   1.370904e-06   1.465615e-02 
    CSRD0029   2.493870e+01   7.084517e-02   4.688095e-01   1.370904e-06   1.467013e-02 
         B3E   2.546740e+01   7.923315e-02   6.538479e-01   7.637168e-04   2.048069e-02 
       CB3RE   2.546740e+01   7.923315e-02   6.538479e-01   7.637168e-04   2.048069e-02 
    CSRD0030   2.569670e+01   8.404292e-02   7.329242e-01   7.637168e-04   2.053114e-02 
         M7E   2.569670e+01   8.404292e-02   7.329242e-01   7.637168e-04   2.053114e-02 
        DM7Q   2.569670e+01   8.404292e-02   7.329242e-01   7.637168e-04   2.053114e-02 
        Q5ER   2.591090e+01   8.909374e-02   8.111743e-01   7.637168e-04   2.059093e-02 
        Q5ER   2.612510e+01   9.530647e-02   8.988402e-01   7.637168e-04   2.068131e-02 
    CSRD0031   2.631142e+01   1.012383e-01   9.794908e-01   7.637168e-04   2.077574e-02 
        YC3E   2.637942e+01   1.034032e-01   1.008925e+00   7.637168e-04   2.081020e-02 
        YC3E   2.644742e+01   1.055681e-01   1.038360e+00   7.637168e-04   2.084466e-02 
    CSRD0032   2.660510e+01   1.105882e-01   1.106615e+00   7.637168e-04   2.092457e-02 
         S3E   2.673010e+01   1.145678e-01   1.160722e+00   7.637168e-04   2.098792e-02 
         S3E   2.685510e+01   1.185473e-01   1.214829e+00   7.637168e-04   2.105127e-02 
       D6EA2   2.685510e+01   1.185473e-01   1.214829e+00   7.637168e-04   2.105127e-02 
         M8E   2.685510e+01   1.185473e-01   1.214829e+00   7.637168e-04   2.105127e-02 
    CSRD0033   2.709480e+01   1.261785e-01   1.318585e+00   7.637168e-04   2.117274e-02 
        Q4ER   2.745190e+01   1.343523e-01   1.442659e+00   7.637168e-04   2.127116e-02 
        Q4ER   2.780900e+01   1.359206e-01   1.502382e+00   7.637168e-04   2.127985e-02 
    CSRD0034   2.803840e+01   1.347723e-01   1.519309e+00   7.637168e-04   2.128272e-02 
        Q4ER   2.839550e+01   1.296864e-01   1.511379e+00   7.637168e-04   2.132396e-02 
        Q4ER   2.875260e+01   1.182244e-01   1.435492e+00   7.637168e-04   2.151233e-02 
    CSRD0035   2.898200e+01   1.089180e-01   1.365434e+00   7.637168e-04   2.170110e-02 
        Q4ER   2.933910e+01   9.187234e-02   1.226254e+00   7.637168e-04   2.211082e-02 
        Q4ER   2.969620e+01   7.030982e-02   1.031284e+00   7.637168e-04   2.276371e-02 
    CSRD0036   2.993590e+01   5.454664e-02   8.834666e-01   7.637168e-04   2.328202e-02 
         S3E   3.006090e+01   4.632638e-02   8.063820e-01   7.637168e-04   2.355231e-02 
         S3E   3.018590e+01   3.810612e-02   7.292975e-01   7.637168e-04   2.382260e-02 
    CSRD0037   3.166135e+01  -5.892258e-02  -1.805782e-01   7.637168e-04   2.701301e-02 
        XC3E   3.179135e+01  -6.747165e-02  -2.607462e-01   7.637168e-04   2.729411e-02 
        XC3E   3.192135e+01  -7.602072e-02  -3.409141e-01   7.637168e-04   2.757521e-02 
    CSRD0038   3.214255e+01  -9.056730e-02  -4.773230e-01   7.637168e-04   2.805352e-02 
         S2E   3.252355e+01  -1.156227e-01  -6.990913e-01   7.637168e-04   2.887736e-02 
         S2E   3.290455e+01  -1.406780e-01  -8.846776e-01   7.637168e-04   2.970121e-02 
    CSRD0039   3.314225e+01  -1.563097e-01  -9.857642e-01   7.637168e-04   3.021520e-02 
        Q3ER   3.349935e+01  -1.736971e-01  -1.105195e+00   7.637168e-04   3.065652e-02 
        Q3ER   3.385645e+01  -1.781836e-01  -1.155359e+00   7.637168e-04   3.070518e-02 
    CSRD0040   3.408585e+01  -1.767977e-01  -1.164376e+00   7.637168e-04   3.070936e-02 
        Q3ER   3.444295e+01  -1.681014e-01  -1.141495e+00   7.637168e-04   3.083493e-02 
        Q3ER   3.480005e+01  -1.469197e-01  -1.046239e+00   7.637168e-04   3.147955e-02 
    CSRD0041   3.498595e+01  -1.328787e-01  -9.785825e-01   7.637168e-04   3.200982e-02 
         M9E   3.498595e+01  -1.328787e-01  -9.785825e-01   7.637168e-04   3.200982e-02 
    CSRD0042   3.519850e+01  -1.168241e-01  -9.012230e-01   7.637168e-04   3.261614e-02 
         S1E   3.532350e+01  -1.073826e-01  -8.561383e-01   7.637168e-04   3.297271e-02 
         S1E   3.544850e+01  -9.794109e-02  -8.117841e-01   7.637168e-04   3.332927e-02 
    CSRD0043   3.555130e+01  -9.017641e-02  -7.755733e-01   7.637168e-04   3.362251e-02 
    CSRD0044   3.565130e+01  -8.262322e-02  -7.403488e-01   7.637168e-04   3.390777e-02 
        Q2ER   3.615130e+01  -4.905404e-02  -6.008169e-01   7.637168e-04   3.503964e-02 
        Q2ER   3.665130e+01  -2.135976e-02  -5.273083e-01   7.637168e-04   3.580805e-02 
    CSRD0045   3.684490e+01  -1.133118e-02  -5.107016e-01   7.637168e-04   3.606779e-02 
      MSEP2E   3.684490e+01  -1.133118e-02  -5.107016e-01   7.637168e-04   3.606779e-02 
         B2E   3.866980e+01   5.324795e-02  -3.242415e-01  -8.771219e-05   5.115458e-02 
       CB2RE   3.866980e+01   5.324795e-02  -3.242415e-01  -8.771219e-05   5.115458e-02 
    CSRD0046   3.893275e+01   5.824076e-02  -2.930513e-01  -8.771219e-05   5.120199e-02 
        XC4E   3.906275e+01   6.070916e-02  -2.776312e-01  -8.771219e-05   5.122542e-02 
        XC4E   3.919275e+01   6.317756e-02  -2.622110e-01  -8.771219e-05   5.124885e-02 
    CSRD0047   3.930675e+01   6.534216e-02  -2.486887e-01  -8.771219e-05   5.126941e-02 
        YC4E   3.943675e+01   6.781056e-02  -2.332686e-01  -8.771219e-05   5.129284e-02 
        YC4E   3.956675e+01   7.027895e-02  -2.178484e-01  -8.771219e-05   5.131627e-02 
    CSRD0048   4.075191e+01   9.278240e-02  -7.726887e-02  -8.771219e-05   5.152992e-02 
    CSRD0049   4.075191e+01   9.278242e-02  -7.726875e-02  -8.771219e-05   5.152992e-02 
       WIG1E   4.099591e+01   9.741515e-02  -4.832585e-02  -8.745802e-05   5.157390e-02 
    CSRD0050   4.112244e+01   9.981729e-02  -3.331745e-02  -8.745802e-05   5.159710e-02 
       WIG2E   4.161044e+01   1.090810e-01   2.457059e-02  -9.158125e-05   5.168966e-02 
    CSRD0051   4.173696e+01   1.114825e-01   3.957964e-02  -9.158125e-05   5.171284e-02 
       WIG1E   4.198096e+01   1.161134e-01   6.852435e-02  -9.132710e-05   5.175679e-02 
    CSRD0052   4.198097e+01   1.161134e-01   6.852447e-02  -9.132710e-05   5.175679e-02 
    CSRD0053   4.216624e+01   1.196295e-01   9.050332e-02  -9.132710e-05   5.179015e-02 
    P202432T   4.216624e+01   1.196295e-01   9.050332e-02  -9.132710e-05   5.179015e-02 
    CSRD0054   4.246116e+01   1.252263e-01   1.254876e-01  -9.132710e-05   5.184326e-02 
        Q1ER   4.275926e+01   1.277887e-01   1.605898e-01  -9.132710e-05   5.185967e-02 
        Q1ER   4.305736e+01   1.241288e-01   1.940694e-01  -9.132710e-05   5.188749e-02 
    CSRD0055   4.323604e+01   1.200907e-01   2.132982e-01  -9.132710e-05   5.193312e-02 
        M11E   4.323604e+01   1.200907e-01   2.132982e-01  -9.132710e-05   5.193312e-02 
    CSRD0056   4.415226e+01   9.938510e-02   3.118964e-01  -9.132710e-05   5.216708e-02 
    T202452T   4.415226e+01   9.938510e-02   3.118964e-01  -9.132710e-05   5.216708e-02 
    CSRD0057   4.802071e+01   1.196174e-02   7.281979e-01  -9.132710e-05   5.315492e-02 
        B1RE   4.908380e+01  -5.122897e-05   8.307635e-01  -2.004352e-06   7.089931e-02 
